codigo,descripcion
0047.00.00.000M,PASTA DE MADERA O DE LAS DEMAS MATERIAS FIBROSAS CELULOSICAS; PAPEL O CARTON PARA RECICLAR (DESPERDICIOS Y DESECHOS)
00.48,
0048.00.00.000F,"PAPEL Y CARTON; MANUFACTURAS DE PASTA DE CELULOSA, DE PAPEL O CARTON"
0049.00.00.000Z,"PRODUCTOS EDITORIALES, DE LA PRENSA Y DE LAS DEMAS INDUSTRIAS GRAFICAS; TEXTOS MANUSCRITOS O MECANOGRAFIADOS Y PLANOS"
0050.00.00.000D,SEDA
0051.00.00.000X,LANA Y PELO FINO U ORDINARIO; HILADOS Y TEJIDOS DE CRIN
0052.00.00.000Q,ALGODON
0053.00.00.000J,LAS DEMAS FIBRAS TEXTILES VEGETALES; HILADOS DE PAPEL Y TEJIDOS DE HILADOS DE PAPEL
0054.00.00.000C,FILAMENTOS SINTETICOS O ARTIFICIALES; TIRAS Y FORMAS SIMILARES DE MATERIA TEXTIL SINTETICA O ARTIFICIAL
0055.00.00.000W,FIBRAS SINTETICAS O ARTIFICIALES DISCONTINUAS
0056.00.00.000P,"GUATA, FIELTRO Y TELA SIN TEJER; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES; ARTICULOS DE CORDELERIA"
0057.00.00.000H,"ALFOMBRAS Y DEMAS REVESTIMIENTOS PARA EL SUELO, DE MATERIA TEXTIL"
0058.00.00.000B,TEJIDOS ESPECIALES; SUPERFICIES TEXTILES CON MECHON INSERTADO; ENCAJES; TAPICERIA; PASAMANERIA; BORDADOS
0059.00.00.000V,"TELAS IMPREGNADAS, RECUBIERTAS, REVESTIDAS O ESTRATIFICADAS; ARTICULOS TECNICOS DE MATERIA TEXTIL"
0060.00.00.000Z,TEJIDOS DE PUNTO
0061.00.00.000T,"PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR, DE PUNTO"
00.62,
0062.00.00.000L,"PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR, EXCEPTO LOS DE PUNTO"
0063.00.00.000E,LOS DEMAS ARTICULOS TEXTILES CONFECCIONADOS; JUEGOS; PRENDERIA Y TRAPOS
0064.00.00.000Y,"CALZADO, POLAINAS Y ARTICULOS ANALOGOS; PARTES DE ESTOS ARTICULOS"
0065.00.00.000R,"SOMBREROS, DEMAS TOCADOS Y SUS PARTES"
0066.00.00.000K,"PARAGUAS, SOMBRILLAS, QUITASOLES, BASTONES, BASTONES ASIENTO, LATIGOS, FUSTAS, Y SUS PARTES"
0067.00.00.000D,PLUMAS Y PLUMON PREPARADOS Y ARTICULOS DE PLUMAS O PLUMON; FLORES ARTIFICIALES; MANUFACTURAS DE CABELLO
00.68,
0068.00.00.000X,"MANUFACTURAS DE PIEDRA, YESO FRAGUABLE, CEMENTO, AMIANTO (ASBESTO), MICA O MATERIAS ANALOGAS"
0069.00.00.000Q,PRODUCTOS CERAMICOS
00.70,
0070.00.00.000V,VIDRIO Y SUS MANUFACTURAS
0071.00.00.000N,"PERLAS FINAS (NATURALES) O CULTIVADAS, PIEDRAS PRECIOSAS O SEMIPRECIOSAS, METALES PRECIOSOS, CHAPADOS DE METAL PRECIOSO (PLAQUE) Y MANUFACTURAS DE ESTAS MATERIAS; BISUTERIA; MONEDAS"
0072.00.00.000G,"FUNDICION, HIERRO Y ACERO"
00.73,
0073.00.00.000A,"MANUFACTURAS DE FUNDICION, HIERRO O ACERO"
00.74,
0074.00.00.000U,COBRE Y SUS MANUFACTURAS
0075.00.00.000M,NIQUEL Y SUS MANUFACTURAS
00.76,
0076.00.00.000F,ALUMINIO Y SUS MANUFACTURAS
0078.00.00.000T,PLOMO Y SUS MANUFACTURAS
0079.00.00.000L,CINC Y SUS MANUFACTURAS
0080.00.00.000Q,ESTA?O Y SUS MANUFACTURAS
0081.00.00.000J,LOS DEMAS METALES COMUNES; CERMETS; MANUFACTURAS DE ESTAS MATERIAS
0082.00.00.000C,"HERRAMIENTAS Y UTILES, ARTICULOS DE CUCHILLERIA Y CUBIERTOS DE MESA, DE METAL COMUN; PARTES DE ESTOS ARTICULOS, DE METAL COMUN"
0083.00.00.000W,MANUFACTURAS DIVERSAS DE METAL COMUN
00.84,
0084.00.00.000P,"REACTORES NUCLEARES, CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS; PARTES DE ESTAS MAQUINAS O APARATOS"
00.85,
0085.00.00.000H,"MAQUINAS, APARATOS Y MATERIAL ELECTRICO, Y SUS PARTES; APARATOS DE GRABACION O REPRODUCCION DE SONIDO, APARATOS DE GRABACION O REPRODUCCION DE IMAGEN Y SONIDO EN TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOS APARATOS"
0086.00.00.000B,"VEHICULOS Y MATERIAL PARA VIAS FERREAS O SIMILARES, Y SUS PARTES; APARATOS MECANICOS (INCLUSO ELECTROMECANICOS) DE SE?ALIZACION PARA VIAS DE COMUNICACION"
00.87,
0087.00.00.000V,"VEHICULOS AUTOMOVILES, TRACTORES, VELOCIPEDOS Y DEMAS VEHICULOS TERRESTRES; SUS PARTES Y ACCESORIOS"
0088.00.00.000N,"AERONAVES, VEHICULOS ESPACIALES, Y SUS PARTES"
0089.00.00.000G,BARCOS Y DEMAS ARTEFACTOS FLOTANTES
00.90,
0090.00.00.000L,"INSTRUMENTOS Y APARATOS DE OPTICA, FOTOGRAFIA O CINEMATOGRAFIA, DE MEDIDA, CONTROL O PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOS INSTRUMENTOS O APARATOS"
00.91,
0091.00.00.000E,APARATOS DE RELOJERIA Y SUS PARTES
0092.00.00.000Y,INSTRUMENTOS MUSICALES; SUS PARTES Y ACCESORIOS
0093.00.00.000R,"ARMAS, MUNICIONES, Y SUS PARTES Y ACCESORIOS"
0094.00.00.000K,"MUEBLES; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE; ANUNCIOS, LETREROS Y PLACAS INDICADORAS LUMINOSOS Y ARTICULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS"
0095.00.00.000D,"JUGUETES, JUEGOS Y ARTICULOS PARA RECREO O DEPORTE; SUS PARTES Y ACCESORIOS"
00.96,
0096.00.00.000X,MANUFACTURAS DIVERSAS
0097.00.00.000Q,OBJETOS DE ARTE O COLECCION Y ANTIGUEDADES
01.01,"CABALLOS, ASNOS, MULOS Y BURDEGANOS, VIVOS."
0101.2,-Caballos:
0101.21.00,--Reproductores de raza pura
0101.21.00.100W,Sangre pura de carrera
0101.21.00.200B,Polo argentino
0101.21.00.300G,Silla argentino
0101.21.00.400M,Criollos
0101.21.00.500T,?rabes
0101.21.00.600Y,Cuarto de milla
0101.21.00.700D,Peruano de paso
0101.21.00.900P,Los dem?s
0101.29.00,--Los dem?s
0101.29.00.1,Raza pura
0101.29.00.110V,Sangre pura de carrera
0101.29.00.120Y,Polo argentino
0101.29.00.130B,Silla argentino
0101.29.00.140E,Criollos
0101.29.00.150H,?rabes
0101.29.00.160L,Cuarto de milla
0101.29.00.170P,Peruano de paso
0101.29.00.190W,Los dem?s
0101.29.00.9,Los dem?s
0101.29.00.910N,Para polo
0101.29.00.920R,Para salto
0101.29.00.930V,Para consumo
0101.29.00.940Y,Para trabajo
0101.29.00.990P,Los dem?s
0101.30.00.000T,-Asnos
0101.90.00.000C,-Los demas
01.02,ANIMALES VIVOS DE LA ESPECIE BOVINA.
0102.2,-Bovinos domesticos:
0102.21,--Reproductores de raza pura
0102.21.10.000U,Pre?adas o con cr?a al pie
0102.21.90,Los dem?s
0102.21.90.100C,Toros y toritos
0102.21.90.200H,Vacas y vaquillonas
0102.21.90.900W,Los dem?s
0102.29,--Los dem?s
0102.29.1,Para reproducci?n
0102.29.11.000X,Pre?adas o con cr?a al pie
0102.29.19,Los dem?s
0102.29.19.100N,Toros y toritos
0102.29.19.200U,Vacas y vaquillonas
0102.29.19.900G,Los dem?s
0102.29.90,Los dem?s
0102.29.90.1,Para consumo
0102.29.90.110B,Toros y toritos
0102.29.90.120E,Vacas y vaquillonas
0102.29.90.130H,Novillos y novillitos
0102.29.90.190C,Los dem?s
0102.29.90.9,Los dem?s
0102.29.90.910V,Toros y toritos
0102.29.90.920Y,Vacas y vaquillonas
0102.29.90.930B,Terneros y terneritos
0102.29.90.990W,Los dem?s
0102.3,-B?falos:
0102.31,--Reproductores de raza pura
0102.31.10.000H,Pre?adas o con cr?a al pie
0102.31.90.000L,Los dem?s
0102.39,--Los dem?s
0102.39.1,Para reproducci?n
0102.39.11.000L,Pre?adas o con cr?a al pie
0102.39.19.000X,Los dem?s
0102.39.90.000G,Los dem?s
0102.90.00.000W,-Los dem?s
